Timepoint,usLatencyMin,usLatencyMax,usLatencyAvg,usJitter,usDelayFactor,pktReceived,pktLost,pktReordered,pktReorderDist
2022-04-14T17:48:06.600801+0200,368276,368946,368600,208,685,54040,0,0,0
2022-04-14T17:48:07.602266+0200,368240,368918,368551,186,680,54516,0,0,0
2022-04-14T17:48:08.603051+0200,368199,369315,369048,204,1123,54991,0,0,0
2022-04-14T17:48:09.604914+0200,368612,378978,368915,257,10358,55467,0,0,0
2022-04-14T17:48:10.606870+0200,368587,372861,369049,445,4289,55943,0,0,0
2022-04-14T17:48:11.608541+0200,368523,372553,368841,173,3996,56419,0,0,0
2022-04-14T17:48:12.610393+0200,368484,369201,368706,176,707,56895,0,0,0
2022-04-14T17:48:13.610677+0200,368465,369186,368793,154,734,57370,0,0,0
2022-04-14T17:48:14.612294+0200,368429,369085,368645,221,655,57846,0,0,0
2022-04-14T17:48:15.614543+0200,368388,369089,368611,196,680,58322,0,0,0
2022-04-14T17:48:16.616323+0200,368343,370766,368638,196,2394,58798,0,0,0
2022-04-14T17:48:17.616545+0200,368310,368982,368597,215,669,59273,0,0,0
2022-04-14T17:48:18.618278+0200,368287,371060,368575,215,2770,59749,0,0,0
2022-04-14T17:48:19.618242+0200,368242,369483,368607,223,1234,60224,0,0,0
2022-04-14T17:48:20.620403+0200,368237,369185,368802,214,958,60700,0,0,0
2022-04-14T17:48:21.622369+0200,368484,369084,368862,193,618,61176,0,0,0
2022-04-14T17:48:22.624544+0200,368459,369150,368813,222,670,61652,0,0,0
2022-04-14T17:48:23.626053+0200,368417,369105,368743,164,669,62128,0,0,0
2022-04-14T17:48:24.626375+0200,368379,375477,368765,210,7096,62603,0,0,0
2022-04-14T17:48:25.628395+0200,368351,373892,368670,255,5534,63079,0,0,0
2022-04-14T17:48:26.630077+0200,368302,369054,368638,202,733,63555,0,0,0
2022-04-14T17:48:27.631863+0200,368258,368970,368586,201,699,64031,0,0,0
2022-04-14T17:48:28.631840+0200,368260,371282,368565,185,3009,64506,0,0,0
2022-04-14T17:48:29.631981+0200,368217,368875,368542,190,660,64981,0,0,0
2022-04-14T17:48:30.633839+0200,368168,368866,368557,146,678,65457,0,0,0
2022-04-14T17:48:31.635857+0200,368139,369185,368879,217,1064,65933,0,0,0
2022-04-14T17:48:32.636106+0200,368525,369194,368896,187,683,66408,0,0,0
2022-04-14T17:48:33.638104+0200,368462,369178,368864,189,716,66884,0,0,0
2022-04-14T17:48:34.639699+0200,368425,369173,368790,202,745,67360,0,0,0
2022-04-14T17:48:35.639868+0200,368414,369102,368800,199,702,67835,0,0,0
2022-04-14T17:48:36.641575+0200,368358,369056,368677,245,667,68311,0,0,0
2022-04-14T17:48:37.641721+0200,368330,368999,368741,173,657,68786,0,0,0
2022-04-14T17:48:38.643799+0200,368268,368990,368671,192,700,69262,0,0,0
2022-04-14T17:48:39.645622+0200,368262,368935,368623,140,674,69738,0,0,0
2022-04-14T17:48:40.647467+0200,368214,368906,368583,199,679,70214,0,0,0
2022-04-14T17:48:41.647465+0200,368177,369155,368517,243,970,70689,0,0,0
2022-04-14T17:48:42.649451+0200,368141,368847,368530,124,717,71165,0,0,0
2022-04-14T17:48:43.651302+0200,368106,369190,368783,142,1092,71641,0,0,0
2022-04-14T17:48:44.651614+0200,368436,378827,368700,281,10386,72116,0,0,0
2022-04-14T17:48:45.653312+0200,368425,369447,368778,243,1004,72592,0,0,0
2022-04-14T17:48:46.653430+0200,368387,369076,368722,289,693,73067,0,0,0
2022-04-14T17:48:47.655580+0200,368339,369042,368675,288,708,73543,0,0,0
2022-04-14T17:48:48.657418+0200,368323,369000,368699,151,654,74019,0,0,0
2022-04-14T17:48:49.659339+0200,368274,368939,368646,239,662,74495,0,0,0
2022-04-14T17:48:50.660864+0200,368236,368915,368567,180,662,74971,0,0,0
2022-04-14T17:48:51.661099+0200,368196,368886,368497,182,691,75446,0,0,0
2022-04-14T17:48:52.663143+0200,368146,368853,368508,214,682,75922,0,0,0
2022-04-14T17:48:53.665100+0200,368129,368818,368457,267,677,76398,0,0,0
2022-04-14T17:48:54.667096+0200,368086,368768,368493,194,688,76874,0,0,0
2022-04-14T17:48:55.667286+0200,368107,369173,368841,204,1078,77349,0,0,0
2022-04-14T17:48:56.668989+0200,368465,369181,368866,199,685,77825,0,0,0
2022-04-14T17:48:57.669184+0200,368447,369126,368806,258,645,78300,0,0,0
2022-04-14T17:48:58.671157+0200,368398,369075,368757,227,659,78776,0,0,0
2022-04-14T17:48:59.673009+0200,368353,369039,368734,189,665,79252,0,0,0
2022-04-14T17:49:00.673081+0200,368340,369038,368692,309,679,79727,0,0,0
2022-04-14T17:49:01.674560+0200,368308,368971,368643,267,655,80203,0,0,0
2022-04-14T17:49:02.674839+0200,368260,368982,368640,191,733,80678,0,0,0
2022-04-14T17:49:03.676698+0200,368220,368895,368537,224,661,81154,0,0,0
2022-04-14T17:49:04.678421+0200,368176,368874,368530,213,670,81630,0,0,0
2022-04-14T17:49:05.680357+0200,368139,368825,368472,218,672,82106,0,0,0
2022-04-14T17:49:06.681048+0200,368117,369301,369015,163,1203,82581,0,0,0
2022-04-14T17:49:07.682604+0200,368553,369250,368830,231,687,83057,0,0,0
2022-04-14T17:49:08.682858+0200,368494,369209,368914,220,690,83532,0,0,0
2022-04-14T17:49:09.684805+0200,368466,369140,368819,193,665,84008,0,0,0
2022-04-14T17:49:10.686320+0200,368432,369114,368820,230,663,84484,0,0,0
2022-04-14T17:49:11.686402+0200,368426,369110,368761,199,683,84959,0,0,0
2022-04-14T17:49:12.686495+0200,368349,369059,368709,191,688,85434,0,0,0
